"customer_id","aov","num_purchases","club_member_status","fashion_news_frequency","avg_age","Shoes & Socks","Blouses, Tops & Shirts","Hoodies & Outerwear","Skirts, Shorts & Tights","Swimwear","Trousers","Knitwear","T-shirts","Nightwear","Underwear","Accessories","Dresses, Jumpsuits & Sets"
1,0.0338813559322033,1,"ACTIVE","NONE",48,1,0,0,0,0,0,0,0,0,0,0,0
2,0.0169322033898305,1,"ACTIVE","NONE",25,0,1,0,0,0,0,0,0,0,0,0,0
3,0.0185056497175141,6,"ACTIVE","NONE",19,0,0,1,1,4,0,0,0,0,0,0,0
4,0.0317796610169491,1,"ACTIVE","NONE",19,0,0,0,0,0,1,0,0,0,0,0,0
5,0.0182033898305085,2,"ACTIVE","NONE",52,1,0,0,0,0,0,1,0,0,0,0,0
6,0.0423559322033898,1,"ACTIVE","Regularly",59,0,0,0,0,0,1,0,0,0,0,0,0
7,0.008457627118644,1,"ACTIVE","NONE",18,0,0,0,0,0,0,0,1,0,0,0,0
8,0.0112881355932203,1,"ACTIVE","NONE",49,0,0,0,1,0,0,0,0,0,0,0,0
9,0.0128220338983051,4,"ACTIVE","Regularly",42,0,0,0,0,0,1,0,0,1,2,0,0
10,0.022864406779661,1,"ACTIVE","NONE",28,0,0,0,0,0,0,0,0,0,1,0,0
11,0.0143898305084745,1,"ACTIVE","NONE",17,0,0,0,0,1,0,0,0,0,0,0,0
12,0.016322033898305,1,"ACTIVE","Regularly",45,0,0,0,1,0,0,0,0,0,0,0,0
13,0.0245593220338983,4,"ACTIVE","NONE",20,0,0,0,0,4,0,0,0,0,0,0,0
14,0.0191061164333087,23,"ACTIVE","NONE",26,0,6,3,1,0,1,2,2,0,6,2,0
15,0.0338813559322033,1,"ACTIVE","NONE",29,0,0,0,0,0,1,0,0,0,0,0,0
16,0.0169322033898305,1,"ACTIVE","NONE",23,0,0,0,0,0,0,0,1,0,0,0,0
17,0.0169322033898305,1,"ACTIVE","NONE",35,0,0,0,1,0,0,0,0,0,0,0,0
18,0.0112824858757062,3,"ACTIVE","Regularly",21,0,0,0,0,0,0,0,3,0,0,0,0
19,0.0101525423728813,1,"ACTIVE","NONE",55,0,0,0,0,0,0,0,0,0,1,0,0
20,0.0101525423728813,2,"ACTIVE","NONE",21,0,0,0,0,0,0,0,0,0,2,0,0
21,0.0239152542372881,5,"ACTIVE","Regularly",33,0,0,1,0,0,1,0,0,0,3,0,0
22,0.008457627118644,1,"ACTIVE","Regularly",33,0,0,0,0,0,0,0,1,0,0,0,0
23,0.0121864406779661,1,"ACTIVE","Regularly",26,0,0,0,0,0,0,0,0,0,0,1,0
24,0.0112881355932203,1,"ACTIVE","NONE",26,0,0,0,1,0,0,0,0,0,0,0,0
25,0.0298593220338982,10,"ACTIVE","NONE",27,1,0,1,0,0,7,0,0,0,0,0,1
26,0.0296440677966101,2,"ACTIVE","Regularly",49,0,0,0,0,1,0,0,0,0,0,0,1
27,0.0262881355932203,25,"ACTIVE","NONE",25,0,6,2,3,2,3,4,0,0,1,1,3
28,0.0271016949152542,2,"ACTIVE","Regularly",18,0,0,0,0,0,2,0,0,0,0,0,0
29,0.0152372881355932,2,"ACTIVE","Regularly",24,0,0,0,0,0,0,1,1,0,0,0,0
30,0.0191920903954802,3,"ACTIVE","NONE",23,0,0,0,0,0,1,0,1,1,0,0,0
31,0.0254067796610169,1,"ACTIVE","Regularly",21,0,1,0,0,0,0,0,0,0,0,0,0
32,0.0077118644067796,1,"ACTIVE","Regularly",50,0,0,0,0,0,0,0,1,0,0,0,0
33,0.0423559322033898,1,"ACTIVE","NONE",22,0,0,0,0,0,0,0,0,0,1,0,0
34,0.0237118644067796,4,"ACTIVE","Regularly",21,0,0,1,1,0,0,0,2,0,0,0,0
35,0.0067627118644067,1,"ACTIVE","NONE",24,0,0,1,0,0,0,0,0,0,0,0,0
36,0.0413135593220339,4,"ACTIVE","NONE",30,0,0,0,0,0,3,0,0,0,1,0,0
37,0.0101525423728813,1,"ACTIVE","NONE",36,0,0,0,0,0,0,1,0,0,0,0,0
38,0.0135423728813559,3,"ACTIVE","NONE",27,1,0,0,0,0,0,0,0,0,2,0,0
39,0.00777966101694908,5,"ACTIVE","Regularly",36,0,0,0,0,0,0,0,4,0,0,1,0
40,0.0209067796610169,4,"ACTIVE","NONE",25,0,2,0,0,0,0,0,0,0,1,1,0
41,0.0067627118644067,1,"ACTIVE","NONE",26,1,0,0,0,0,0,0,0,0,0,0,0
42,0.0364237288135593,2,"ACTIVE","Regularly",52,0,0,0,0,0,2,0,0,0,0,0,0
43,0.0254067796610169,1,"ACTIVE","Regularly",20,0,0,0,0,0,0,0,0,0,1,0,0
44,0.0395310734463276,3,"ACTIVE","Regularly",48,0,0,0,0,0,3,0,0,0,0,0,0
45,0.0169322033898305,1,"ACTIVE","NONE",19,0,0,0,0,0,0,0,0,0,1,0,0
46,0.0220169491525423,1,"ACTIVE","NONE",22,0,1,0,0,0,0,0,0,0,0,0,0
47,0.0232711864406779,3,"ACTIVE","NONE",58,0,0,0,0,0,1,0,1,0,0,0,1
48,0.0338813559322033,3,"ACTIVE","NONE",37,0,0,1,0,0,1,1,0,0,0,0,0
49,0.0242768361581921,6,"ACTIVE","NONE",29,2,0,0,0,0,2,0,0,0,1,1,0
50,0.0273841807909604,3,"ACTIVE","Regularly",43,1,0,0,1,0,0,1,0,0,0,0,0
51,0.0211694915254237,2,"ACTIVE","NONE",36,0,0,0,0,2,0,0,0,0,0,0,0
52,0.0226949152542372,5,"ACTIVE","Regularly",58,0,0,1,0,1,0,1,2,0,0,0,0
53,0.0338813559322033,1,"ACTIVE","NONE",48,0,0,0,0,0,1,0,0,0,0,0,0
54,0.0207457627118644,2,"ACTIVE","Regularly",53,0,0,0,1,0,0,0,0,0,0,1,0
55,0.0388418079096045,3,"ACTIVE","NONE",31,0,0,0,2,0,0,0,0,0,1,0,0
56,0.0304915254237288,1,"PRE-CREATE","NONE",48,0,0,0,0,1,0,0,0,0,0,0,0
57,0.0423559322033898,1,"ACTIVE","Regularly",19,0,0,0,0,0,0,1,0,0,0,0,0
58,0.0338813559322033,1,"ACTIVE","Regularly",43,0,0,0,0,0,1,0,0,0,0,0,0
59,0.00754237288135585,2,"ACTIVE","NONE",33,0,0,0,0,0,0,0,0,0,2,0,0
